2020_area_damaged_all,2010_area_damaged_all,2017_area_damaged_all,2008_area_damaged_all,2006_area_damaged_all,2016_area_damaged_all,2000_area_damaged_all,2002_area_damaged_all,2009_area_damaged_all,2007_area_damaged_all,2004_area_damaged_all,2012_area_damaged_all,2019_area_damaged_all,2018_area_damaged_all,2013_area_damaged_all,2015_area_damaged_all,2014_area_damaged_all,2001_area_damaged_all,2005_area_damaged_all,2011_area_damaged_all,2003_area_damaged_all,2020_CountyName
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rowan
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Davidson
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Randolph
0.06530380434782608,0.019591141304347817,0.026121521739130432,0.019591141304347817,0.06530380434782608,0.013060760869565216,0.013060760869565216,0.019591141304347817,0.0,3.918228260869565,0.019591141304347817,3.918228260869565,0.06530380434782608,0.013060760869565216,0.0,0.0,0.019591141304347817,0.013060760869565216,0.026121521739130432,0.0,0.06530380434782608,McDowell
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Catawba
0.030645333333333327,0.0766133333333333,0.030645333333333327,0.02298399999999999,0.0766133333333333,0.015322666666666663,0.02298399999999999,0.02298399999999999,0.0,10.742466222222221,0.030645333333333327,0.0766133333333333,0.0766133333333333,0.030645333333333327,0.02298399999999999,0.030645333333333327,0.0766133333333333,1.5322666666666662,15.347566,0.02298399999999999,0.0766133333333333,Burke
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019212631578947367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19212631578947367,1.3469655789473682,Tyrrell
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Edgecombe
0.0,0.0,0.0,0.007086070588235294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007086070588235294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007086070588235294,0.014172141176470587,Washington
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nash
